City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Rikitea,PF,79.09,-23.1203,-134.9692,overcast clouds,Chez Bianca & Benoit
2,Castro,BR,78.48,-24.7911,-50.0119,clear sky,Hotel Central Palace
7,Kahului,US,77.85,20.8947,-156.47,light rain,Maui Seaside Hotel
11,Faanui,PF,81.09,-16.4833,-151.75,broken clouds,Oa Oa Lodge
12,Hilo,US,79.61,19.7297,-155.09,clear sky,Dolphin Bay Hotel
13,Takoradi,GH,80.94,4.8845,-1.7554,clear sky,Hillcrest
22,Cockburn Town,TC,77.9,21.4612,-71.1419,broken clouds,The Salt Raker Inn
23,Bintulu,MY,77.41,3.1667,113.0333,few clouds,Bakun Inn
36,Mount Isa,AU,76.77,-20.7333,139.5,broken clouds,Ibis Styles
43,Kapaa,US,77.32,22.0752,-159.319,light rain,Pono Kai Resort
44,Mar Del Plata,AR,73.83,-38.0023,-57.5575,clear sky,Nuevo Ostende
50,Kisangani,CD,73.27,0.5167,25.2,broken clouds,Le Chalet
60,Atuona,PF,77.88,-9.8,-139.0333,light rain,Pearl Resort
64,Palmares,BR,83.48,-8.6833,-35.5917,clear sky,Abrigo São Francisco
66,Metro,ID,73.33,-5.1131,105.3067,overcast clouds,Hotel Nuban
70,Souillac,MU,73.78,-20.5167,57.5167,heavy intensity rain,Hotel SkylineInn
75,Saint-Philippe,RE,76.59,-21.3585,55.7679,light rain,Le Baril
76,Sampit,ID,73.78,-2.5333,112.95,overcast clouds,Hotel Sultan
78,Bathsheba,BB,83.01,13.2167,-59.5167,broken clouds,Atlantis Hotel
79,Cidreira,BR,79.75,-30.1811,-50.2056,clear sky,Hotel Castelo
80,Denpasar,ID,80.26,-8.65,115.2167,scattered clouds,Hotel Candra Adiguna
85,Mogadishu,SO,76.41,2.0371,45.3438,clear sky,SYL Hotel
86,Vaini,TO,82.15,-21.2,-175.2,few clouds,Keleti International Resort
87,Los Reyes,MX,76.86,19.35,-98.9667,clear sky,Hotel Zafiro
88,Port Hedland,AU,84.25,-20.3167,118.5667,overcast clouds,The Esplanade Hotel
97,Lagoa Formosa,BR,75.4,-18.7786,-46.4075,overcast clouds,Hotel HS
103,Puerto Ayora,EC,85.96,-0.7393,-90.3518,broken clouds,Hostal La Mirada De Solitario George
115,Banda Aceh,ID,75.99,5.5577,95.3222,light rain,Hotel 61
117,Pisco,PE,75.25,-13.7,-76.2167,clear sky,La Portada
120,Grand Gaube,MU,75.38,-20.0064,57.6608,light rain,Coco Villa
122,Bengkulu,ID,75.29,-3.8004,102.2655,overcast clouds,Dena Hotel
143,Manta,EC,85.78,-0.95,-80.7333,broken clouds,La Gaviota
147,Tocopilla,CL,73.26,-22.092,-70.1979,broken clouds,hotel Isidora
148,Georgetown,MY,78.73,5.4112,100.3354,few clouds,Page 63 hostel
153,Hithadhoo,MV,81.57,-0.6,73.0833,broken clouds,Pebbles Inn
157,Namatanai,PG,79.14,-3.6667,152.4333,overcast clouds,Namatanai Hotel
159,Kalmunai,LK,75.16,7.4167,81.8167,overcast clouds,Saji new food
160,Chuy,UY,81.86,-33.6971,-53.4616,broken clouds,Alerces
163,Saint-Pierre,RE,78.48,-21.3393,55.4781,moderate rain,Tropic Hotel
170,Mackay,AU,74.68,-21.15,149.2,broken clouds,Mackay Oceanside Central Apartment Hotel
175,Yulara,AU,83.08,-25.2406,130.9889,scattered clouds,Outback Pioneer Hotel & Lodge
177,Isangel,VU,82.04,-19.55,169.2667,clear sky,Tanna Lodge
178,Hervey Bay,AU,76.1,-25.2986,152.8535,light rain,Hervey Bay Hotel
181,Hualmay,PE,76.12,-11.0964,-77.6139,broken clouds,Hotel Mi Choacan
188,Avarua,CK,82.45,-21.2078,-159.775,light rain,Paradise Inn
189,Tabou,CI,79.21,4.423,-7.3528,scattered clouds,hôtel le rochet
190,Matadi,CD,78.3,-5.8167,13.45,light rain,Hôtel Métroplole
194,Tupiza,BO,73.08,-21.45,-65.7167,broken clouds,Aramayo Hostal
195,Fare,PF,80.76,-16.7,-151.0167,light rain,hôtel Maitai Lapita Village
202,Padang,ID,75.67,-0.9492,100.3543,overcast clouds,losmen Surya
206,Oistins,BB,82.49,13.0667,-59.5333,broken clouds,The Abidah By Accra
217,Gambela,ET,87.57,8.25,34.5833,broken clouds,Grand Hotel
222,Makakilo City,US,74.44,21.3469,-158.0858,clear sky,Embassy Suites by Hilton Oahu Kapolei
224,Uruguaiana,BR,85.93,-29.7547,-57.0883,light rain,Casa Branca
226,Presidencia Roque Saenz Pena,AR,77.76,-26.7852,-60.4388,moderate rain,Hotel Presidente
