City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,79.09,78,100,16.53,overcast clouds
1,Bluff,NZ,-46.6,168.3333,55.8,78,95,8.72,overcast clouds
2,Castro,BR,-24.7911,-50.0119,78.48,60,0,7.18,clear sky
3,Krumbach,DE,48.2418,10.3632,32.65,89,100,5.97,overcast clouds
4,Victoria,HK,22.2855,114.1577,58.24,74,13,8.99,few clouds
5,Olden,NO,61.8364,6.8064,39.94,99,100,5.7,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,47.82,76,75,14.97,light rain
7,Kahului,US,20.8947,-156.47,77.85,75,20,4.0,light rain
8,Hobart,AU,-42.8794,147.3294,60.66,63,40,17.27,scattered clouds
9,Port Hawkesbury,CA,45.6169,-61.3485,27.99,69,20,12.66,few clouds
10,Khatanga,RU,71.9667,102.5,-15.65,86,100,7.85,overcast clouds
11,Faanui,PF,-16.4833,-151.75,81.09,77,82,18.16,broken clouds
12,Hilo,US,19.7297,-155.09,79.61,73,0,8.05,clear sky
13,Takoradi,GH,4.8845,-1.7554,80.94,82,0,9.13,clear sky
14,Port Alfred,ZA,-33.5906,26.891,69.19,81,100,4.0,overcast clouds
15,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,74,20,10.36,few clouds
16,Ilulissat,GL,69.2167,-51.1,30.22,74,75,8.05,broken clouds
17,Vardo,NO,70.3705,31.1107,30.18,86,20,26.46,light snow
18,Cansancao,BR,-10.6672,-39.4992,94.62,22,18,10.47,few clouds
19,Nikolskoye,RU,59.7035,30.7861,35.49,97,100,11.14,overcast clouds
20,Punta Arenas,CL,-53.15,-70.9167,53.71,37,75,31.07,light intensity shower rain
21,Scarborough,GB,54.2797,-0.4044,42.37,89,6,1.01,clear sky
22,Cockburn Town,TC,21.4612,-71.1419,77.9,72,56,18.25,broken clouds
23,Bintulu,MY,3.1667,113.0333,77.41,94,20,3.44,few clouds
24,Evensk,RU,61.95,159.2333,6.58,61,100,26.53,overcast clouds
25,Saint-Augustin,CA,51.226,-58.6502,2.39,72,5,13.62,clear sky
26,East London,ZA,-33.0153,27.9116,68.77,89,100,12.73,light rain
27,Tiksi,RU,71.6872,128.8694,-34.47,97,100,4.52,overcast clouds
28,Butaritari,KI,3.0707,172.7902,80.42,80,57,20.76,moderate rain
29,Pevek,RU,69.7008,170.3133,-18.58,76,2,2.1,clear sky
30,Kundiawa,PG,-6.0167,144.9667,62.49,97,95,2.04,overcast clouds
31,Albany,US,42.6001,-73.9662,33.22,87,100,9.91,snow
32,Road Town,VG,18.4167,-64.6167,82.49,65,40,11.5,scattered clouds
33,Cherskiy,RU,68.75,161.3,-30.75,97,65,4.41,broken clouds
34,Marawi,PH,7.9986,124.2928,65.21,93,100,2.17,heavy intensity rain
35,Phonhong,LA,18.5007,102.4166,57.4,76,9,0.85,clear sky
36,Mount Isa,AU,-20.7333,139.5,76.77,78,58,2.3,broken clouds
37,Yellowknife,CA,62.456,-114.3525,0.55,85,75,6.91,broken clouds
38,Pangody,RU,65.85,74.4859,5.07,96,100,9.22,overcast clouds
39,Alyangula,AU,-13.8483,136.4192,80.69,78,100,3.67,overcast clouds
40,Erenhot,CN,43.6475,111.9767,-0.85,82,17,7.52,few clouds
41,Portachuelo,BO,-17.35,-63.4,90.5,56,43,9.89,scattered clouds
42,Mount Gambier,AU,-37.8333,140.7667,52.05,86,1,4.63,clear sky
43,Kapaa,US,22.0752,-159.319,77.32,80,0,13.8,light rain
44,Mar Del Plata,AR,-38.0023,-57.5575,73.83,61,0,13.0,clear sky
45,Narok,KE,-1.0783,35.8601,58.62,53,4,3.51,clear sky
46,Woodward,US,36.4337,-99.3904,38.97,74,100,6.91,overcast clouds
47,Ilanskiy,RU,56.2358,96.065,-8.79,100,99,4.88,overcast clouds
48,Kenora,CA,49.8167,-94.4337,7.77,78,40,6.91,scattered clouds
49,Nantucket,US,41.2835,-70.0995,41.14,70,75,4.61,broken clouds
50,Kisangani,CD,0.5167,25.2,73.27,74,79,3.06,broken clouds
51,Ribeira Grande,PT,38.5167,-28.7,61.2,63,75,26.46,broken clouds
52,Gornopravdinsk,RU,60.05,69.9,11.08,94,100,9.26,overcast clouds
53,Bambous Virieux,MU,-20.3428,57.7575,75.22,100,75,3.44,very heavy rain
54,Te Anau,NZ,-45.4167,167.7167,58.57,63,69,2.64,broken clouds
55,Barrow,US,71.2906,-156.7887,-12.98,77,0,13.8,clear sky
56,Lashio,MM,22.9333,97.75,49.01,64,3,1.48,clear sky
57,Blagoveshchensk,RU,50.2667,127.5333,-31.59,75,0,0.0,clear sky
58,Satinka,RU,52.3792,41.6819,14.2,85,5,6.76,clear sky
59,Krivosheino,RU,57.3431,83.9261,16.5,91,100,12.53,overcast clouds
60,Atuona,PF,-9.8,-139.0333,77.88,78,70,15.5,light rain
61,Lata,PT,40.1629,-8.3327,49.82,78,0,3.78,clear sky
62,Bandarbeyla,SO,9.4942,50.8122,75.49,69,10,16.6,clear sky
63,Bilibino,RU,68.0546,166.4372,-22.23,74,62,4.74,broken clouds
64,Palmares,BR,-8.6833,-35.5917,83.48,46,8,13.42,clear sky
65,Lincoln,US,40.8,-96.667,25.29,78,100,21.85,overcast clouds
66,Metro,ID,-5.1131,105.3067,73.33,92,100,3.44,overcast clouds
67,Viransehir,TR,37.2353,39.7631,43.88,57,10,3.22,clear sky
68,Busselton,AU,-33.65,115.3333,57.69,77,0,8.99,clear sky
69,Port Lincoln,AU,-34.7333,135.8667,61.74,86,53,9.66,broken clouds
70,Souillac,MU,-20.5167,57.5167,73.78,100,75,3.44,heavy intensity rain
71,Luderitz,NA,-26.6481,15.1594,65.64,64,0,20.07,clear sky
72,Husavik,IS,66.0449,-17.3389,27.54,72,100,15.08,overcast clouds
73,Bethel,US,41.3712,-73.414,38.43,77,100,8.05,snow
74,Zabol,AF,32.25,67.25,22.8,72,5,4.61,clear sky
75,Saint-Philippe,RE,-21.3585,55.7679,76.59,91,100,12.41,light rain
76,Sampit,ID,-2.5333,112.95,73.78,99,100,1.72,overcast clouds
77,San Policarpo,PH,12.1791,125.5072,78.22,87,100,18.88,overcast clouds
78,Bathsheba,BB,13.2167,-59.5167,83.01,65,75,20.71,broken clouds
79,Cidreira,BR,-30.1811,-50.2056,79.75,79,9,12.19,clear sky
80,Denpasar,ID,-8.65,115.2167,80.26,94,40,8.05,scattered clouds
81,Hasaki,JP,35.7333,140.8333,27.0,35,5,10.78,clear sky
82,Artsyz,UA,45.9919,29.4182,36.37,67,99,5.01,overcast clouds
83,Kampene,CD,-3.6,26.6667,67.86,94,100,2.1,overcast clouds
84,Ayan,RU,56.45,138.1667,-13.05,69,40,8.99,scattered clouds
85,Mogadishu,SO,2.0371,45.3438,76.41,79,0,23.24,clear sky
86,Vaini,TO,-21.2,-175.2,82.15,73,23,11.03,few clouds
87,Los Reyes,MX,19.35,-98.9667,76.86,26,0,3.44,clear sky
88,Port Hedland,AU,-20.3167,118.5667,84.25,74,85,9.22,overcast clouds
89,Carnarvon,AU,-24.8667,113.6333,79.79,70,54,10.69,broken clouds
90,New Norfolk,AU,-42.7826,147.0587,60.3,60,100,5.01,overcast clouds
91,Hermanus,ZA,-34.4187,19.2345,63.81,68,0,11.12,clear sky
92,Jurm,AF,36.8648,70.8342,15.62,67,8,5.93,clear sky
93,Kieta,PG,-6.2167,155.6333,78.22,83,97,0.45,overcast clouds
94,Cape Town,ZA,-33.9258,18.4232,66.09,66,0,18.41,clear sky
95,Gatbo,PH,13.5833,123.3833,70.7,94,61,6.78,broken clouds
96,Avera,US,33.194,-82.5271,63.91,95,100,13.15,light rain
97,Lagoa Formosa,BR,-18.7786,-46.4075,75.4,79,92,3.02,overcast clouds
98,Nanortalik,GL,60.1432,-45.2371,34.18,97,100,13.02,light snow
99,Kavaratti,IN,10.5669,72.642,79.68,78,83,15.82,broken clouds
100,Lavrentiya,RU,65.5833,-171.0,-11.22,86,98,12.39,overcast clouds
101,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,75,10.36,broken clouds
102,Bridlington,GB,54.0831,-0.1919,42.89,79,6,20.13,clear sky
103,Puerto Ayora,EC,-0.7393,-90.3518,85.96,89,74,8.01,broken clouds
104,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,17.27,overcast clouds
105,Longyearbyen,SJ,78.2186,15.6401,15.64,67,40,23.02,scattered clouds
106,Mataura,NZ,-46.1927,168.8643,59.02,71,83,3.15,broken clouds
107,Beyneu,KZ,45.3167,55.2,24.64,64,0,7.7,clear sky
108,Jamestown,US,42.097,-79.2353,34.02,92,100,17.27,overcast clouds
109,Grindavik,IS,63.8424,-22.4338,37.87,87,75,17.27,light rain
110,Dongsheng,CN,39.8161,109.9776,5.79,49,100,10.69,overcast clouds
111,Ponta Do Sol,PT,32.6667,-17.1,61.72,55,1,8.52,clear sky
112,Iqaluit,CA,63.7506,-68.5145,-22.27,63,20,3.44,few clouds
113,Sungaipenuh,ID,-2.0833,101.3833,62.65,83,100,1.74,light rain
114,Adrar,MR,20.5022,-10.0711,72.91,14,94,9.26,overcast clouds
115,Banda Aceh,ID,5.5577,95.3222,75.99,87,100,4.76,light rain
116,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,74,75,15.23,broken clouds
117,Pisco,PE,-13.7,-76.2167,75.25,78,0,10.36,clear sky
118,Kaitangata,NZ,-46.2817,169.8464,58.91,82,90,3.22,overcast clouds
119,Nome,US,64.5011,-165.4064,-7.53,64,0,11.5,clear sky
120,Grand Gaube,MU,-20.0064,57.6608,75.38,88,100,5.01,light rain
121,Golyshmanovo,RU,56.3979,68.3728,9.28,95,81,10.47,broken clouds
122,Bengkulu,ID,-3.8004,102.2655,75.29,87,100,5.26,overcast clouds
123,Boone,US,39.0334,-92.3335,36.45,92,100,12.71,light rain
124,Port Hardy,CA,50.6996,-127.4199,41.18,100,100,2.3,mist
125,Kodiak,US,57.79,-152.4072,33.31,93,0,5.75,clear sky
126,Mandurah,AU,-32.55,115.7,67.91,62,0,13.0,clear sky
127,Bredasdorp,ZA,-34.5322,20.0403,64.53,64,0,9.82,clear sky
128,Usinsk,RU,65.9939,57.5281,18.43,95,100,23.0,snow
129,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,55,75,22.37,snow
130,Shirokiy,RU,49.758,129.523,-38.09,97,7,4.88,clear sky
131,Lagoa,PT,39.05,-27.9833,58.39,74,4,19.19,clear sky
132,Port Elizabeth,ZA,-33.918,25.5701,69.31,79,100,6.91,overcast clouds
133,Talnakh,RU,69.4865,88.3972,-3.8,96,100,16.33,light snow
134,Zanjan,IR,36.6736,48.4787,21.96,84,24,2.35,few clouds
135,Lompoc,US,34.6391,-120.4579,66.85,51,0,1.99,clear sky
136,Tasiilaq,GL,65.6145,-37.6368,24.96,95,100,23.38,snow
137,Kruisfontein,ZA,-34.0033,24.7314,66.88,82,0,7.45,clear sky
138,Broken Hill,AU,-31.95,141.4333,65.35,38,0,22.01,clear sky
139,Cap-Aux-Meules,CA,47.3821,-61.8597,19.45,68,75,12.66,broken clouds
140,Maniitsoq,GL,65.4167,-52.9,31.71,99,100,19.19,snow
141,Andenes,NO,69.3143,16.1194,33.78,80,75,19.57,shower snow
142,Lakes Entrance,AU,-37.8811,147.981,61.61,84,99,8.03,overcast clouds
143,Manta,EC,-0.95,-80.7333,85.78,66,75,13.8,broken clouds
144,Spoleto,IT,42.7448,12.7374,45.16,91,100,4.65,overcast clouds
145,Okhotsk,RU,59.3833,143.3,-11.74,78,100,20.96,overcast clouds
146,Batagay,RU,67.6333,134.6333,-42.14,94,100,2.01,overcast clouds
147,Tocopilla,CL,-22.092,-70.1979,73.26,76,68,6.31,broken clouds
148,Georgetown,MY,5.4112,100.3354,78.73,77,20,2.3,few clouds
149,Wanaka,NZ,-44.7,169.15,64.11,58,10,4.59,clear sky
150,Ajdabiya,LY,30.7554,20.2263,61.12,48,91,17.11,overcast clouds
151,Lufilufi,WS,-13.8745,-171.5986,85.78,77,43,13.8,light rain
152,Panorama,GR,40.5878,23.0315,44.69,72,40,8.99,light intensity drizzle
153,Hithadhoo,MV,-0.6,73.0833,81.57,74,79,12.24,broken clouds
154,Fukuchiyama,JP,35.3,135.1167,19.74,94,16,3.8,few clouds
155,Esna,EG,25.2934,32.554,60.82,26,0,6.91,clear sky
156,Qaanaaq,GL,77.484,-69.3632,0.86,64,1,6.4,clear sky
157,Namatanai,PG,-3.6667,152.4333,79.14,79,100,6.11,overcast clouds
158,Tuatapere,NZ,-46.1333,167.6833,60.35,59,67,5.84,broken clouds
159,Kalmunai,LK,7.4167,81.8167,75.16,81,99,7.63,overcast clouds
160,Chuy,UY,-33.6971,-53.4616,81.86,50,76,14.7,broken clouds
161,Saldanha,ZA,-33.0117,17.9442,62.65,78,0,21.18,clear sky
162,Merauke,ID,-8.4667,140.3333,78.49,90,100,6.58,overcast clouds
163,Saint-Pierre,RE,-21.3393,55.4781,78.48,83,75,2.3,moderate rain
164,Mailsi,PK,29.8003,72.1758,48.72,36,0,7.63,clear sky
165,Coahuayana,MX,18.7333,-103.6833,88.21,31,2,7.65,clear sky
166,Margate,GB,51.3813,1.3862,39.87,93,100,12.41,light rain
167,Thompson,CA,55.7435,-97.8558,-2.04,71,75,12.66,light snow
168,Beringovskiy,RU,63.05,179.3167,-15.9,90,5,9.89,clear sky
169,Johnstown,US,40.3267,-78.922,39.92,77,100,25.32,overcast clouds
170,Mackay,AU,-21.15,149.2,74.68,81,61,5.59,broken clouds
171,Glencoe,ZA,-28.1783,30.147,59.2,93,100,3.33,overcast clouds
172,Nishihara,JP,26.1842,127.7558,56.48,69,75,8.05,broken clouds
173,Nioki,CD,-2.7167,17.6833,73.09,80,15,1.01,few clouds
174,Willmar,US,45.1219,-95.0433,24.82,79,40,18.41,scattered clouds
175,Yulara,AU,-25.2406,130.9889,83.08,20,42,15.17,scattered clouds
176,Dikson,RU,73.5069,80.5464,0.63,93,100,21.32,light snow
177,Isangel,VU,-19.55,169.2667,82.04,78,4,7.7,clear sky
178,Hervey Bay,AU,-25.2986,152.8535,76.1,77,99,2.53,light rain
179,Ferme-Neuve,CA,46.7001,-75.4493,21.27,86,100,6.51,overcast clouds
180,Prosvet,RU,55.5703,65.0825,8.2,94,27,6.8,scattered clouds
181,Hualmay,PE,-11.0964,-77.6139,76.12,70,62,8.75,broken clouds
182,Fortuna,US,40.5982,-124.1573,56.98,72,0,0.0,clear sky
183,Tecoanapa,MX,16.5167,-98.75,83.59,50,4,10.31,clear sky
184,Baykit,RU,61.67,96.37,-30.35,100,100,0.4,overcast clouds
185,Mikhaylovka,RU,50.06,43.2379,19.71,85,6,4.16,clear sky
186,Fairbanks,US,64.8378,-147.7164,-5.4,78,40,0.0,scattered clouds
187,Salon-De-Provence,FR,43.6407,5.0954,38.84,72,0,10.36,clear sky
188,Avarua,CK,-21.2078,-159.775,82.45,78,40,10.36,light rain
189,Tabou,CI,4.423,-7.3528,79.21,84,31,5.64,scattered clouds
190,Matadi,CD,-5.8167,13.45,78.3,85,42,0.25,light rain
191,Bayonne,FR,43.3333,-1.4167,46.15,100,100,8.05,mist
192,Baykalsk,RU,51.5058,104.1469,7.05,84,97,6.69,overcast clouds
193,Torbay,CA,47.6666,-52.7314,34.57,65,40,14.97,heavy intensity rain
194,Tupiza,BO,-21.45,-65.7167,73.08,33,55,23.89,broken clouds
195,Fare,PF,-16.7,-151.0167,80.76,77,14,18.84,light rain
196,Hauterive,FR,46.0901,3.4459,34.56,98,100,3.98,overcast clouds
197,Katsuura,JP,35.1333,140.3,33.58,43,35,11.03,scattered clouds
198,Umm Lajj,SA,25.0213,37.2685,72.18,61,0,7.07,clear sky
199,Coolum Beach,AU,-26.5333,153.1,73.11,97,80,3.4,broken clouds
200,San Patricio,US,28.017,-97.5169,62.91,38,1,14.18,clear sky
201,Chistogorskiy,RU,53.9835,87.3843,16.29,94,100,9.98,light snow
202,Padang,ID,-0.9492,100.3543,75.67,82,99,4.32,overcast clouds
203,Hirara,JP,24.8,125.2833,62.96,62,100,8.63,overcast clouds
204,Asfi,MA,32.2994,-9.2372,54.19,65,3,16.4,clear sky
205,Ibra,OM,22.6906,58.5334,57.99,58,42,1.9,scattered clouds
206,Oistins,BB,13.0667,-59.5333,82.49,65,75,20.71,broken clouds
207,Port-Cartier,CA,50.0334,-66.8654,8.74,73,12,3.38,few clouds
208,Roros,NO,62.5747,11.3842,31.84,100,99,4.61,light snow
209,Prince Rupert,CA,54.3161,-130.3201,46.49,92,100,36.82,light rain
210,Upernavik,GL,72.7868,-56.1549,5.27,94,100,10.89,overcast clouds
211,Gara,HU,46.0319,19.0428,35.26,77,36,5.12,scattered clouds
212,Norman Wells,CA,65.282,-126.8329,-7.56,84,100,0.0,overcast clouds
213,Bilma,NE,18.6853,12.9164,74.23,11,4,5.66,clear sky
214,Batemans Bay,AU,-35.7167,150.1833,67.1,78,9,4.05,clear sky
215,Sid,RS,45.1283,19.2264,36.68,77,33,6.8,scattered clouds
216,Westport,US,41.1415,-73.3579,40.82,81,100,12.66,moderate rain
217,Gambela,ET,8.25,34.5833,87.57,28,53,2.17,broken clouds
218,Kangaatsiaq,GL,68.3065,-53.4641,18.36,88,100,4.59,overcast clouds
219,Kudahuvadhoo,MV,2.6708,72.8944,79.45,76,100,4.94,overcast clouds
220,Haines Junction,CA,60.7522,-137.5108,35.94,99,100,6.15,moderate rain
221,Taonan,CN,45.3333,122.7833,-7.6,75,0,8.08,clear sky
222,Makakilo City,US,21.3469,-158.0858,74.44,75,0,6.91,clear sky
223,Guerrero Negro,MX,27.9769,-114.0611,65.28,22,70,5.59,broken clouds
224,Uruguaiana,BR,-29.7547,-57.0883,85.93,51,100,21.85,light rain
225,Tala,EG,30.6803,30.9429,50.76,88,0,6.2,clear sky
226,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,77.76,74,100,13.27,moderate rain
227,Coquimbo,CL,-29.9533,-71.3436,69.53,68,20,13.8,few clouds
228,Henties Bay,NA,-22.116,14.2845,64.92,80,57,5.61,broken clouds
229,Zyryanka,RU,65.75,150.85,-35.25,100,100,2.68,overcast clouds
230,Inuvik,CA,68.3499,-133.7218,-4.94,77,100,3.44,light snow
231,Conceicao Da Barra,BR,-18.5933,-39.7322,77.81,92,100,4.94,overcast clouds
232,Vanavara,RU,60.34,102.2797,-19.26,99,100,3.89,overcast clouds
233,Saint George,US,37.1041,-113.5841,49.42,40,0,4.0,clear sky
234,Pacifica,US,37.6138,-122.4869,64.08,43,0,7.0,clear sky
235,Hobyo,SO,5.3505,48.5268,76.37,69,0,19.55,clear sky
236,Porto Velho,BR,-8.7619,-63.9039,77.05,88,75,3.44,moderate rain
237,Chokurdakh,RU,70.6333,147.9167,-29.15,100,46,2.24,scattered clouds
238,Pitimbu,BR,-7.4706,-34.8086,84.79,68,0,10.36,clear sky
239,Touros,BR,-5.1989,-35.4608,81.05,67,0,15.88,clear sky
240,Hami,CN,42.8,93.45,12.61,38,0,4.47,clear sky
241,Yar-Sale,RU,66.8333,70.8333,0.7,92,14,8.93,few clouds
242,Portland,US,45.5234,-122.6762,46.83,88,100,3.44,overcast clouds
243,Ismailia,EG,30.6043,32.2723,57.94,70,0,6.22,clear sky
244,Caravelas,BR,-17.7125,-39.2481,79.66,81,97,9.55,light rain
245,Mersing,MY,2.4312,103.8405,76.91,88,20,12.66,light rain
246,Vao,NC,-22.6667,167.4833,80.04,83,1,8.46,clear sky
247,Mozelos,PT,41.8677,-8.3978,47.88,81,0,5.28,clear sky
248,Huilong,CN,31.8111,121.655,28.92,76,47,5.3,scattered clouds
249,Santa Maria,BR,-29.6842,-53.8069,88.9,48,40,8.05,scattered clouds
250,Price,US,39.5994,-110.8107,33.12,43,0,13.8,clear sky
251,Lourdes,FR,43.1,-0.05,35.51,87,100,4.61,overcast clouds
252,Marakkanam,IN,12.2,79.95,73.06,73,56,6.89,broken clouds
253,Dunedin,NZ,-45.8742,170.5036,63.81,78,49,1.99,scattered clouds
254,Fatsa,TR,41.0278,37.5014,44.4,81,100,1.54,overcast clouds
255,Hovd,MN,48.0056,91.6419,-5.21,72,5,6.2,clear sky
256,Astana,KZ,51.1801,71.446,-5.85,84,0,8.95,clear sky
257,Airai,TL,-8.9266,125.4092,59.31,91,97,3.02,overcast clouds
258,Kavieng,PG,-2.5744,150.7967,81.0,75,100,7.23,overcast clouds
259,Gat,IL,31.61,34.7642,58.41,76,0,4.21,clear sky
260,Meshchovsk,RU,54.3244,35.2808,25.29,93,59,7.92,broken clouds
261,Taltal,CL,-25.4,-70.4833,72.93,73,23,6.58,few clouds
262,Laguna,US,38.421,-121.4238,61.02,65,0,8.05,haze
263,Kirakira,SB,-10.4544,161.9205,80.4,83,98,6.2,overcast clouds
264,Salinopolis,BR,-0.6136,-47.3561,77.88,85,100,8.7,overcast clouds
265,Balud,PH,10.1476,123.6953,78.76,85,86,7.4,moderate rain
266,Port Keats,AU,-14.25,129.55,75.88,94,100,4.92,overcast clouds
267,Fort Nelson,CA,58.8053,-122.7002,26.19,86,100,2.3,overcast clouds
268,Korla,CN,41.7597,86.1469,14.54,59,2,6.33,clear sky
269,Abu Samrah,SY,35.3029,37.1841,49.62,66,5,5.57,clear sky
270,Srednekolymsk,RU,67.45,153.6833,-34.51,99,78,3.13,broken clouds
271,Samarai,PG,-10.6167,150.6667,79.95,83,100,8.39,overcast clouds
272,Acapulco,MX,16.8634,-99.8901,84.02,58,0,8.05,clear sky
273,Klaksvik,FO,62.2266,-6.589,40.12,78,100,24.56,light rain
274,Rundu,NA,-17.9333,19.7667,68.0,83,39,5.3,scattered clouds
275,Pacific Grove,US,36.6177,-121.9166,65.39,45,0,11.99,clear sky
276,Saryozek,KZ,44.3583,77.9753,1.89,83,3,4.29,clear sky
277,Manutuke,NZ,-38.6833,177.9167,63.07,70,9,4.54,clear sky
278,Barreirinha,BR,-2.7933,-57.07,80.76,70,100,3.62,overcast clouds
279,Naze,JP,28.3667,129.4833,45.52,68,76,5.37,broken clouds
280,Kloulklubed,PW,7.0419,134.2556,77.5,79,100,15.97,overcast clouds
281,Srandakan,ID,-7.9386,110.2506,77.04,87,100,10.49,overcast clouds
282,Bondo,CD,3.8146,23.6866,76.62,38,25,0.94,scattered clouds
283,Madang,PG,-5.2246,145.7966,74.88,95,100,4.43,overcast clouds
284,Hanmer Springs,NZ,-42.5167,172.8167,66.16,56,76,4.56,broken clouds
285,Bouza,NE,14.4229,6.0428,76.39,10,3,7.0,clear sky
286,Mabaruma,GY,8.2,-59.7833,80.78,67,21,7.29,few clouds
287,Dali,CN,25.7,100.1833,43.25,57,12,5.93,few clouds
288,Inta,RU,66.0317,60.1659,18.23,92,100,20.42,light snow
289,Zhigansk,RU,66.7697,123.3711,-41.44,94,100,6.13,overcast clouds
290,Phibun Mangsahan,TH,15.2447,105.2291,60.78,81,78,4.65,broken clouds
291,Yauya,PE,-8.9833,-77.3,60.93,51,99,7.16,light rain
292,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,77,75,18.48,broken clouds
